File: freesound_community-woman-laugh-6421.wav | Nhãn gốc: custom_dataset | AI đoán: Speech (0.41)
File: freesound_community-desk-chair-squeaking-28433.wav | Nhãn gốc: Squeak | AI đoán: Door (0.11)
File: freesound_community-075636_moving-chair-39008.wav | Nhãn gốc: Squeak | AI đoán: Mechanisms (0.33)
File: freesound_community-wooden-chair-slide-scrape-on-wood-floor-75857.wav | Nhãn gốc: Squeak | AI đoán: Roaring cats (lions, tigers) (0.33)
File: freesound_community-pull-or-sharp-a-sword-or-knife-sound-effect-43764.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.26)
File: freesound_community-rolling-office-chair-sitting-standing-up-rolling-again-64831.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.20)
File: freesound_community-string-pull-lightswitch-severaltakes-81111.wav | Nhãn gốc: Squeak | AI đoán: Mechanisms (0.26)
File: freesound_community-drag_1-43939.wav | Nhãn gốc: Squeak | AI đoán: Arrow (0.20)
File: freesound_community-chair-sound-number-1-40791.wav | Nhãn gốc: Squeak | AI đoán: Typewriter (0.74)
File: freesound_community-chair-96108.wav | Nhãn gốc: Squeak | AI đoán: Engine starting (0.20)
File: freesound_community-chair-sliding-on-floor-foolishfool-54844.wav | Nhãn gốc: Squeak | AI đoán: Speech (0.11)
File: freesound_community-unfolding-metal-chair-88470.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.26)
File: freesound_community-dress-in-chair-64494.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.11)
File: freesound_community-rolling-desk-chair-31433.wav | Nhãn gốc: Squeak | AI đoán: Vehicle (0.15)
File: freesound_community-wooden-chair-move-86869.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.08)
File: freesound_community-chair-moving-38333.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.15)
File: freesound_community-scraping-chair-68522.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.41)
File: freesound_community-light-pull-string-32448.wav | Nhãn gốc: Squeak | AI đoán: Cash register (0.41)
File: freesound_community-metal-chair-on-hardwood-floor-56517 (1).wav | Nhãn gốc: Squeak | AI đoán: Silence (0.26)
File: freesound_community-dragging-on-floor-82114.wav | Nhãn gốc: Squeak | AI đoán: Speech (0.33)
File: freesound_community-chair-squeak-106739.wav | Nhãn gốc: Squeak | AI đoán: Coin (dropping) (0.33)
File: freesound_community-scotchtapedispenser-107883.wav | Nhãn gốc: Squeak | AI đoán: Inside, small room (0.50)
File: freesound_community-chair-squeak-38474.wav | Nhãn gốc: Squeak | AI đoán: Fart (0.20)
File: freesound_community-metal-chair-on-hardwood-floor-56517.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.26)
File: freesound_community-chair-37368.wav | Nhãn gốc: Squeak | AI đoán: Thunderstorm (0.41)
File: freesound_community-sliding-chair-47711.wav | Nhãn gốc: Squeak | AI đoán: Breathing (0.67)
File: freesound_community-steel-coil-spring-85790.wav | Nhãn gốc: Squeak | AI đoán: Tools (0.15)
File: freesound_community-chair-thrown-crash-bolt-fell-out-after-crash-92306.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.26)
File: freesound_community-curtain-open-and-closing-38334.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.11)
File: freesound_community-steel-chair-60578.wav | Nhãn gốc: Squeak | AI đoán: Cattle, bovinae (0.11)
File: freesound_community-tissues-92164.wav | Nhãn gốc: Squeak | AI đoán: Explosion (0.41)
File: freesound_community-sitting-office-chair-30240.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.41)
File: freesound_community-plastic-chair-dragged-on-stone-outside-89656.wav | Nhãn gốc: Squeak | AI đoán: Vehicle (0.41)
File: freesound_community-squeaky-office-chair-29285.wav | Nhãn gốc: Squeak | AI đoán: Animal (0.20)
File: freesound_community-homemade-hydraulic-hoist-30527.wav | Nhãn gốc: Squeak | AI đoán: Speech (0.98)
File: freesound_community-sitting-on-office-chair-32149.wav | Nhãn gốc: Squeak | AI đoán: Silence (0.08)
File: freesound_community-chair-squeak-1-90946.wav | Nhãn gốc: Squeak | AI đoán: Speech (0.15)
File: freesound_community-woman-laugh-6421.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: dragon-studio-witch-laugh-401713.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: dragon-studio-evil-laugh-5-431487.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: gargamel10-man-laugh-sound-effect-1-380326.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: freesound_community-low-laugh-85923.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: kuzu420-chipmunk-laugh-228444.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.50)
File: dianasue500-male-deep-laugh-328480.wav | Nhãn gốc: Laughter | AI đoán: Vehicle (0.08)
File: chvortex-short-high-pitched-laugh-242960.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: freesound_community-evil-laugh-6742.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: freesound_community-yell-laugh-104848.wav | Nhãn gốc: Laughter | AI đoán: Screaming (0.41)
File: freesound_community-laugh-101005.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.06)
File: humordome-goofy-laugh-454456.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: freesound_community-laugh-96142.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: homemade_sfx-tiny-creature-laugh-272424.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.15)
File: virtual_vibes-kids-giggling-laughing-423434.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: freesound_community-yandere-laugh-87511.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: eritnhut1992-funny-sounds-363152.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.11)
File: freesound_community-laughter_13yo_femail_long-61211.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: freesound_community-joker-laugh-2-98829.wav | Nhãn gốc: Laughter | AI đoán: Music (0.89)
File: locrpg-chuckle-104108.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: universfield-sinister-laugh-140131.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.15)
File: freesound_community-short_insane_laugh-103748.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: freesound_community-crazy-laugh-37633.wav | Nhãn gốc: Laughter | AI đoán: Neigh, whinny (0.74)
File: freesound_community-evil-laugh-49831.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.33)
File: freesound_community-soft-laughing-6445.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.15)
File: freesound_community-evil-laugh-5-64577.wav | Nhãn gốc: Laughter | AI đoán: Cough (0.26)
File: freesound_community-evil-laugh-81648.wav | Nhãn gốc: Laughter | AI đoán: Grunt (0.20)
File: freesound_community-female-laugh-91853.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.59)
File: freesound_community-dumby-laugh-82591.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.89)
File: freesound_community-psychotic-laugh-79156.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.20)
File: freesound_community-cartoon-laugh-6457 (1).wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.41)
File: freesound_community-sooo-funny-82640.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: u_il1eh7oxly-laugh-1-242067.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.33)
File: freesound_community-deep-laugh-chucklemp3-14518.wav | Nhãn gốc: Laughter | AI đoán: Cough (0.41)
File: freesound_community-cackling-laugh-85211.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: freesound_community-20-year-old-boy-laughing-64652.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.33)
File: freesound_community-cutie-laugh-83616.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: koiroylers-man-laughing-355974.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: freesound_community-cartoon-laugh-6457.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.41)
File: freesound_community-girl-laugh-6689.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: floraphonic-laughing-adult-woman-5-204977.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.41)
File: freesound_community-joker-laugh-2-98829 (1).wav | Nhãn gốc: Laughter | AI đoán: Music (0.89)
File: freesound_community-funniest-thing-001-85094.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.20)
File: floraphonic-laughing-adult-woman-1-204978.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.20)
File: freesound_community-lady-laugh-44816.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.33)
File: freesound_community-evil-laugh-45966.wav | Nhãn gốc: Laughter | AI đoán: Groan (0.50)
File: kuzu420-crazy-guy-laughter-psychotic-284322.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.50)
File: mangaletp-funny-laughing-406018.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-evil-witch-laugh-75814.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.15)
File: virtualzero-boy-giggling-playful-laugh-hd-379353.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: freesound_community-evil-laugh-89423.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.15)
File: freesound_community-laughing-74053.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-laughing-through-nose-and-teeth-28714.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.33)
File: freesound_community-laugh-105488.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.11)
File: u_37zsdd1l0u-evil-laugh-multi-338687.wav | Nhãn gốc: Laughter | AI đoán: Grunt (0.26)
File: freesound_community-crazy-old-man-laugh-90215.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-evil-laugh-7-103773.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.33)
File: freesound_community-laugh-03wav-14416.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.41)
File: gargamel10-man-laugh-sound-effect-2-380327.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: floraphonic-laughing-adult-woman-2-204981.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: universfield-laughter-140503.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.59)
File: universfield-womenx27s-laughter-140575.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.33)
File: freesound_community-witch-laugh-95203.wav | Nhãn gốc: Laughter | AI đoán: Animal (0.50)
File: freesound_community-echoing-laughter-83935.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-possessed-laugh-94851.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: humordome-goofy-laugh-454457.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.33)
File: freesound_community-radu-laugh-80396.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: freesound_community-dutch-student-laugh-98633.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: koiroylers-cheerful-laugh-356423.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: u_edphcbxwje-satanic-laugh-460877.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-laugh-3-funniest-thing-ever-32017.wav | Nhãn gốc: Laughter | AI đoán: Shout (0.26)
File: freesound_community-laugh-7064.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.50)
File: nand1nho-laugh-01-355093.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.67)
File: freesound_community-great-giggle-laugh-103584.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.59)
File: freesound_community-laughing-gas-99367.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.96)
File: flutie8211-just-look-at-that-with-laugh-451577.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.20)
File: freesound_community-human_male_laughing_1-79978.wav | Nhãn gốc: Laughter | AI đoán: Silence (0.20)
File: dragon-studio-evil-laugh-2-431484.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.26)
File: freesound_community-laughter-29686.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.41)
File: virtual_vibes-young-children-joy-423435.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.50)
File: freesound_community-evil-laugh-6125.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.20)
File: freesound_community-kids-laugh-45357.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.26)
File: laugh.wav | Nhãn gốc: Laughter | AI đoán: Speech (0.33)
File: freesound_community-dat-evil-laugh-104401.wav | Nhãn gốc: Laughter | AI đoán: Laughter (0.11)
File: dragon-studio-fast-typing-435487.wav | Nhãn gốc: Computer keyboard | AI đoán: Computer keyboard (0.50)
File: dragon-studio-keyboard-typing-01-435503.wav | Nhãn gốc: Computer keyboard | AI đoán: Music (0.33)
File: hasin2004-keyboard-typing-sound-247417.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.94)
File: soundreality-keyboard-typing-381785.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.80)
File: virtualzero-keyboard-typing-fast-371229.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.94)
File: matthewvakaliuk73627-computer-keyboard-typing-290582.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: dragon-studio-fast-typing-sfx-435488.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: freesound_community-wattsapp-29575.wav | Nhãn gốc: Computer keyboard | AI đoán: Animal (0.20)
File: dragon-studio-super-fast-typing-435498.wav | Nhãn gốc: Computer keyboard | AI đoán: Sound effect (0.26)
File: freesound_community-keyboard-82272.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.33)
File: freesound_community-keyboard-clicks-46830.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.67)
File: freesound_community-keyboard-typing-102133.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.33)
File: dragon-studio-fast-typing-1-393910.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: freesound_community-pc-keyboard-31765.wav | Nhãn gốc: Computer keyboard | AI đoán: Inside, small room (0.15)
File: dinamakan-typing-keyboard-sound-254462.wav | Nhãn gốc: Computer keyboard | AI đoán: Car (0.26)
File: soundreality-keyboard-typing-2-381784.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.96)
File: rubyland1-iphone-typing-359368.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.74)
File: virtual_vibes-keyboard-typing-loop-4-400951 (1).wav | Nhãn gốc: Computer keyboard | AI đoán: Mechanisms (0.11)
File: freesound_community-typing-28154.wav | Nhãn gốc: Computer keyboard | AI đoán: Inside, small room (0.20)
File: retro_timmy-keyboard-typing-329937.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.85)
File: sarthakraj_308-typing-on-laptop-keyboard-308455.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.41)
File: rubyland1-phone-keyboard-359370.wav | Nhãn gốc: Computer keyboard | AI đoán: Finger snapping (0.33)
File: omegasp1der-keyboard-typing-sounds-398632.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.67)
File: freesound_community-mechanical-keyboard-typing-slow-individual-keys-96798.wav | Nhãn gốc: Computer keyboard | AI đoán: Camera (0.26)
File: soundreality-keyboard-typing-sfx-525007.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: dragon-studio-keyboard-typing-03-435504.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: u_a4gfvwagf1-iphone-keyboard-typing-sound-effect-336778.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.33)
File: freesound_community-typing-6427.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: dragon-studio-typing-with-a-keyboard-435492.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.96)
File: virtualzero-mechanical-keyboard-typing-sound-effect-hd-379363.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: soul_serenity_sounds-typing-sound-02-229861.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.26)
File: freesound_community-keyboard-53837.wav | Nhãn gốc: Computer keyboard | AI đoán: Inside, small room (0.26)
File: virtual_vibes-clicky-keyboard-sound-for-coding-379367.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.41)
File: freesound_community-keyboard-typing-69103.wav | Nhãn gốc: Computer keyboard | AI đoán: Sliding door (0.08)
File: kakaist-typewriter-sound-effect-312919.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.80)
File: ncprime-keyboard-typing-4-292591.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: freesound_community-keyboard-typing-28860.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.59)
File: dragon-studio-typing-sfx-435493.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: davidgallie-keyboard-typing-139083.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: storegraphic-typing-keyboard-sound-306559.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: freesound_community-typing-on-mechanical-keyboard-39541.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: virtual_vibes-keyboard-typing-loop-3-400952.wav | Nhãn gốc: Computer keyboard | AI đoán: Computer keyboard (0.59)
File: virtual_vibes-realistic-typing-sound-for-office-use-379369.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: dragon-studio-keyboard-typing-sound-435501.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.89)
File: oxidvideos-keyboard-typing-456753.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: dragon-studio-clicking-keyboard-asmr-sfx-356115.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.94)
File: mr_qualityz-keyboard-sound-200501.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.97)
File: sennafoxy-quick-mechanical-keyboard-using-enter-14390.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: bubu07audio-clicky-keyboard-typing-361367.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.96)
File: u_zxqwb3ytbg-typing-sound-effect-117679.wav | Nhãn gốc: Computer keyboard | AI đoán: Camera (0.74)
File: maviyol-keyboard-typing-sound-effect-439214.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: freesound_community-mechanical-keyboard-typing-sfx-27624.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.50)
File: danevaer-mechanical-keyboard-typing-brown-switches-436103 (1).wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: tahsin_manjir-mechanical-keyboard-typing-sound-asmr-321555.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.26)
File: freesound_community-typing-on-computer-keyboard-58445.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.26)
File: ksjsbwuil-keyboard-4-513905.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: liecio-keyboard-typing-sounds-259556.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.33)
File: kalsstockmedia-computer-keyboard-angry-typing-313805.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: freesound_community-typing-on-laptop-39237.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: dragon-studio-typing-with-keyboard-435489.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: nickpanekaiassets-mechanical-keyboard-typing-sound-effect-ai-made-sfx-473872.wav | Nhãn gốc: Computer keyboard | AI đoán: Gunshot, gunfire (0.33)
File: wings_of_freedom-keyboard-sound-392959 (1).wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: virtualzero-slow-keyboard-typing-ultra-realistic-375855.wav | Nhãn gốc: Computer keyboard | AI đoán: Inside, small room (0.41)
File: freesound_community-keyboard-typing-82179.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.33)
File: freesound_community-keyboard-sounds-pack-70188.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: freesound_community-buckling-spring-keyboard-typing-26695 (1).wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.41)
File: ncprime-keyboard-typing-2-292589.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.74)
File: freesound_community-keyboard-typing-36490.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: sennafoxy-key-by-key-mechanical-keyboard-14389.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: dragon-studio-typing-keyboard-asmr-356116.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: ahmed_abdulaal-keyboard-typing-sound-effect-336985.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: freesound_community-mechanical-keyboard-typing-treble-version-7055.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: freesound_community-buckling-spring-keyboard-typing-26695.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.41)
File: freesound_community-typing-on-keyboard-22713.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.15)
File: freesound_community-typing-18347.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.50)
File: freesound_community-slower-mechanical-keyboard-typing-19960.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.50)
File: freesound_community-type-writing-6834.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: dragon-studio-keyboard-typing-sound-effect-335503.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: virtual_vibes-keyboard-typing-loop-2-400953.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.74)
File: sennafoxy-quick-mechanical-keyboard-14391.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: dinamakan-thocky-keyboard-sound-effect-264568.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.11)
File: soundreality-keyboard-typing-fast-381781.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.41)
File: freesound_community-keyboard-typing-5997.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: nikin-typing-on-the-keyboard-in-an-angry-mood-321291.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.97)
File: ncprime-keyboard-typing-one-short-292592.wav | Nhãn gốc: Computer keyboard | AI đoán: Camera (0.67)
File: freesound_community-keyboard-typing-22490.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: wings_of_freedom-keyboard-sound-392959.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: freesound_community-computer-keyboard-typing-snippet-mono-loop-31523.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.94)
File: dragon-studio-typing-on-a-keyboard-435494.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.92)
File: smallplant-keyboard-typing-sound-391536.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.50)
File: dragon-studio-typing-keyboard-sound-435500.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.97)
File: 54570407-keyboard-typing-sound-487915.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.98)
File: freesound_community-mechanical-keyboard-23537.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.26)
File: freesound_community-typing-on-a-typewriter-with-ding-at-end-of-each-line-55941.wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.50)
File: virtual_vibes-keyboard-typing-loop-4-400951.wav | Nhãn gốc: Computer keyboard | AI đoán: Mechanisms (0.11)
File: virtualzero-mechanical-keyboard-typing-hd-372290.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.99)
File: rmultimediaeu-keyboard-typing-sound-250308.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: amaze98-heavy-keyboard-typing-291528.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.85)
File: ncprime-keyboard-typing-one-short-1-292590.wav | Nhãn gốc: Computer keyboard | AI đoán: Camera (0.59)
File: tahsin_manjir-mechanical-keyboard-typing-sound-asmr-321555 (1).wav | Nhãn gốc: Computer keyboard | AI đoán: Silence (0.26)
File: freesound_community-typing-on-laptop-keyboard-1wav-14885.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.20)
File: freesound_community-typing-6458.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (0.74)
File: danevaer-mechanical-keyboard-typing-brown-switches-436103.wav | Nhãn gốc: Computer keyboard | AI đoán: Typing (1.00)
File: mrstokes302-pen-click-sfx-mrstokes302-433050.wav | Nhãn gốc: Clicking | AI đoán: Ping (0.33)
File: oxidvideos-crumpling-paper-video-sfx-479041.wav | Nhãn gốc: Clicking | AI đoán: Crumpling, crinkling (0.67)
File: freesound_community-dropping-a-pen-on-wood-103665.wav | Nhãn gốc: Clicking | AI đoán: Camera (0.41)
File: freesound_community-pen_writing_on_paper_record20151219011226-32035.wav | Nhãn gốc: Clicking | AI đoán: Engine starting (0.20)
File: freesound_community-pen-handle-write-hold-tap-16999.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.20)
File: freesound_community-pen-sign-writing-1-sec-94717.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.85)
File: freesound_community-pen-click1-47501.wav | Nhãn gốc: Clicking | AI đoán: Hands (0.33)
File: soundreality-pen-click-3-411630.wav | Nhãn gốc: Clicking | AI đoán: Scissors (0.20)
File: freesound_community-pen-clicking-34370.wav | Nhãn gốc: Clicking | AI đoán: Camera (0.15)
File: soundreality-pen-click-411629.wav | Nhãn gốc: Clicking | AI đoán: Coin (dropping) (0.11)
File: freesound_community-fake-insect-sound-37632.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.33)
File: sound_garage-pen-signature-4-395488.wav | Nhãn gốc: Clicking | AI đoán: Scratch (0.08)
File: freesound_community-pen-sound-37382.wav | Nhãn gốc: Clicking | AI đoán: Cap gun (0.33)
File: freesound_community-scirbbling-2-pen-64673.wav | Nhãn gốc: Clicking | AI đoán: Scratch (0.50)
File: freesound_community-pencil-94784.wav | Nhãn gốc: Clicking | AI đoán: Hands (0.94)
File: freesound_community-drawing-87057.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.26)
File: freesound_community-writing-with-pen-35109.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.33)
File: freesound_community-sfx_stylustabletdrawing-pen_drawingontabletsurface-31327.wav | Nhãn gốc: Clicking | AI đoán: Gasp (0.26)
File: freesound_community-fx_penclicksandautographs01-60692.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.41)
File: vikukachannel-escribir-dibujar-garabatear-writing-drawing-171043 (1).wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.20)
File: freesound_community-pen-sound-1-42958.wav | Nhãn gốc: Clicking | AI đoán: Speech (0.20)
File: spinopel-write-hello-world-with-marker-345732.wav | Nhãn gốc: Clicking | AI đoán: Cutlery, silverware (0.20)
File: freesound_community-writing-73259.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.74)
File: freesound_community-quill-pen-writing-on-hard-paper-various-speed-57020.wav | Nhãn gốc: Clicking | AI đoán: Purr (0.41)
File: kakaist-marker-scribble-sfx-332102.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.11)
File: freesound_community-sharpie_on_cardboard-74037.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.33)
